id,new_category,confidence
688,Love & Relationships,Medium
689,Love & Relationships,Medium
690,Love & Relationships,Medium
691,Love & Relationships,Medium
692,Love & Relationships,Medium
693,Self-Love & Worthiness,High
694,Love & Relationships,Medium
695,Love & Relationships,Medium
696,Love & Relationships,Medium
697,Love & Relationships,Medium
698,Love & Relationships,Medium
699,Love & Relationships,Medium
700,Love & Relationships,Medium
701,Love & Relationships,Medium
702,Love & Relationships,High
703,Love & Relationships,Medium
704,Love & Relationships,Medium
705,Love & Relationships,Medium
706,Health & Wholeness,High
707,Love & Relationships,Medium
708,Love & Relationships,Medium
709,Self-Love & Worthiness,Medium
710,Love & Relationships,Medium
711,Love & Relationships,Medium
712,Love & Relationships,Medium
713,Love & Relationships,Medium
714,Love & Relationships,Medium
715,Love & Relationships,Medium
716,Love & Relationships,Medium
717,Self-Love & Worthiness,Medium
718,Love & Relationships,Medium
719,Love & Relationships,Medium
720,Love & Relationships,Medium
721,Love & Relationships,Medium
722,Self-Love & Worthiness,Medium
723,Self-Love & Worthiness,Medium
724,Love & Relationships,Medium
725,Love & Relationships,Medium
726,Love & Relationships,Medium
727,Love & Relationships,Medium
728,Love & Relationships,Medium
729,Love & Relationships,Medium
730,Self-Love & Worthiness,Medium
